Id	EssaySet	Score1	Score2	EssayText
62	1	3	3	thi group left same veri import thing out of their procedur . first of all thei didn t tell us what sampl to us for the experi . thei didn t tell us how much vinegar to us or what size contain we would need all of thi inform to replic thi lab .
63	1	1	1	you would need the name of the four sampl you ar us to make a tabl to record data . write down you need to record the start mass end mass and differ in mass .
64	1	0	0	some addit inform i would need is how thei found the mass and what type of instrument wa be us . also when thei sai place a sampl of the materi how much of each type am i go to need .
65	1	0	0	first of all you ll need to measur the contain bit ls and subtract it from weight of the sampl so you don t accid have extra weight . calcul the time differ it took to prepar them . us the same weight of each sampl .
66	1	0	0	to exactli replic thi experi you would have to know how thei measur the mass of the object becaus without that how would we figur out the differ mass . we have to know the start mass the end mass and the differ in mass .
67	1	1	1	after read the group procedur i did not know how much vinegar thei would be pour into the contain . thi group also did not state the start time at which thei ad the vinegar . thi group also did not state the reason the data thei just said to determin it .
68	1	2	2	i would need the amount of rich in each contain . i would need the amount of vinegar of r contain . i would need the same kind of vinegar in each contain . i would need all of thi addit inform to replic thi reprimand . i would also need the amount trial done .
69	1	3	3	. a list of materi and safeti requir . p . the amount of vinegar to put in the contain . p . the temperatur of the room vinegar p . a control group .
70	1	1	1	addit inform you need in order to replic thi experi is a control group . a control grai should have no effect on the sampl and is need so you can base your answer off reliabl sourc . also in order to replic thi experi we need to know the amount of vinegar we ar put on the sampl . we also would need to know .
71	1	1	1	what you would need is the inform on how much vinegar is ad to everi sampl . for exampl on sampl can be in a differ amount of vinegar . so that can throw their end mass off .
72	1	2	2	we would need to know what sampl thei us for the experi thei just sai sampl . we need to know how much vinegar thei pour into each cup and we would need to know what unit to measur the mass of the sampl with . thei would have to specifi that we should weigh them us gram .
73	1	0	0	what the group of student did wa determin the mass of differ sampl . so what i would do what thei did in the begin or the investig i would us the sampl and do anoth experi with the sampl .
74	1	1	1	on statement thei need to put the measur of the contain p on stamen how much water p on number what the measur mt were support to us for the mass .
75	1	1	1	some addit inform for their procedur would be to us the same amount of vinegar for each contain . also make sure the time ar all on for each sampl . also measur the mass after it dry and find your differ from it start mass .
76	1	3	3	in order to replic ta experi a person would need to know a few more thing . thei would need to know which substanc to us how much of each on . the person would need to know how much vinegar to put in the contain . thei would also need to know what temperatur to put ta contain in . on might also want to know what type of contain how to write down the find .
77	1	3	3	you would need to know how much vinegar wa place in the contain . what type of sampl you were measur and place in the contain and the temperatur at which thei were store at to ensur equal experi .
78	1	0	0	addit piec of inform that should be includ in the procedur would be with with what would you be us to determin the mass such as a scale have the control variabl evid in the procedur on last thing that should be to move a tabl of the start mass the end mass and the differ in mass us gram .
79	1	1	1	to replic thi experi you would need to know how mani ml of vinegar is pour into each contain . you would also need to know how much distil water wa suppos to be pour onto the sampl . also you mai want to have the start mass of each sampl be the same .
80	1	1	1	in order to replic thi experi i would need to know more thing that weren t state in the procedur . i would need to know the amount of vinegar pour into the contain the amount of time the sampl were in the vinegar and the amount of distil water us to rins it off .
81	1	3	3	the addit thing that i would put ar the procedur in what find at temperatur thei left the contain in . i would also includ the sampl of what i am test in the experi . lastli i would also put in my procedur how much amount of vinegar thei ar put in .
82	1	2	2	in order to replic thi experi you must be abl to know what the four materi ar how to measur the mass how much vinegar should be pour into the contain and how much distil water should thei rins it with . thei should start by sai d determin the mass put the tripl beam balanc of the four riff . sampl name them then pour vinegar how much into contain then these step of step wash how much distil water and it would be better .
83	1	2	2	in order to replic thi experi you would need to know the size of the contain that you would place the sampl in you would need to know the amount of vinegar put in each contain you would need to know what to us to measur out the mass for exampl tripl beam balanc etc and you would also need to know the materi to us to place each sampl in the contain .
84	1	0	0	you got to put more vinegar in wood so it make no differ in mass in plastic out a littl not more vinegar so it could do more reaction .
85	1	1	1	anoth trial the amount of vinegar us and no chang of time to make sure it s accur . becaus if not quill chang the experi . by chang the most import thing .
86	1	3	3	to replic thi experi on must know inform that is not given by the procedur . first we must know how much vinegar to put into the contain enough to cover them next we need to know how the vinegar will affect the materi . will we complet submerg it or onli partial final we need to know which materi to us . the data indic them but the procedur doe not .
87	1	0	0	three addit piec of inform i would need to replic the procedur ar to gather materi us a control and when it s finish to record the data .
88	1	1	1	in order to replic the experi you would need to know sever more piec of inform . on of them be the amount of each materi wood plastic marbl and limeston . you would also need to know how much vinegar to add . final a constant for each materi would also help .
89	1	0	0	the independ variabl is the marbl limeston wood plastic . the marbl start point wa . g . the limeston wa . g and wood start point . . the end of the experi is that you have to determin the mass of each sampl .
90	1	2	2	addit inform that could be us in order to replic the experi would be to list the actual sampl in the procedur so you can see what your us . secondli in the procedur i made need to what to weigh the mass in for exampl thei didn t tell you to weigh in gram and i wouldn t be abl to complet the experi easili . it doesn t tell how much vinegar to actual pour into each contain in order to replic i would need to know that .
91	1	3	3	i think that know the temperatur in the enjoy would be veri us i m sure it we heat the sampl or froze the sampl we wouldn t get the same result . also we need to know what type of environ we should place thi in . should it be sunni dark windi hot cold etc . i also think we should know what kind of contain and how larg it should be we don t even know the right amount of vinegar to pour on the sampl . thi experi is miss too much inform .
92	1	0	0	in order for i for replic thi experi i would need to know what ar the research ing with thi experi what kind of result ar be book at and the mass of each sampl at the end of experi there result .
93	1	3	3	in order to replic the experi you would need to know how much vinegar to pour into each contain . you would need to know how long to rins each sampl with distil water and us how much water . you would also need to know how thei determin the mass of the sampl both in the begin and end of the experi and thei exact size of the contain that the sampl ar be place in .
94	1	1	2	in order to replic the experi we would need a control . we would also need the four sampl to us . and anoth thing is what can of vinegar to us and how to weigh the mass of each on . that is what we would need to replic the experi .
95	1	3	1	the addit inform that is need in order to replic the experi is the amount of vinegar that should be place in each contain . the amount of vinegar must be kept constant in order for the data to be valid . the result acquir from the experi can be affect if the amount of vinegar wa increas or decreas . therefor the amount of vinegar is need in order to replic the experi .
96	1	0	0	in order to replic thi group procedur you would need to know the independ and depend variabl as well as the control group for the procedur . also to ma he it more clear thei would need to includ a hypothesi of the experi well as a purpos .
97	1	3	3	in order to replic the experi the procedur would have to add more detail . in the first bullet the four sampl should be state as marbl limeston wood and plastic . you should describ the contain where to put the sampl and how much you need . there should be a step where you find the start mass befor the experi . also there should be measur of how much vinegar should be ad . on last thing is when you sai to determin the mass on the procedur it should sai in gram .
98	1	1	1	thei should have told the sampl that wa us . the second thing wa the outcom what happen to the differ .
99	1	3	3	the student need to sai what the sampl ar . thei need to
100	1	2	2	the group should of ad the amount of vinegar us for control . also thei should have compar at least on more trial materi befor repli conclus . the recommend size of the sampl should have also been state in order for the conclus to be easi to compar with other group attempt to complet thi experi .
101	1	3	3	addit inform i would need to replic thi experi would be the actual name of the sampl . in step i would need the exact amount of vinegar to pour into each contain . also in step i would need the amount of distil water to rins it off with and for how long .
102	1	2	2	in order to replic thi experi some addit inform i would need is how the gap determin the mass of the sampl and what did thei us to do so . i would also need to know the amount of vinegar thei us to pour in each contain as well as what kind of contain thei us .
103	1	1	1	first off these group of student forgot to add in step how much vinegar in go to be pour in each ident contain . in step number the student did not sai to organ the sampl so you can record it as separ data becaus each sampl is differ marbl limeston wood plastic . the student also forgot to includ step which is find the differ in mass . if anoth group of student were go to do thi exact experi thei wouldn t know what thei ar compar .
104	1	2	2	if i wa do thi experi i would have taken the temp . of the room i also would have given a measur of how much vinegar i us .
105	1	0	2	after read the group procedur the follow addit inform is need you need to observ the contain when you fill each with the content you will need to make sure each contain ha the veri same amount then also make sure that all the contain ar in the same room temp .
106	1	1	1	the addit inform that is need it the amount of vinegar be pour into each cut . also you need to record all the inform . thei need to know how much water thei ar put into the contain after hour .
107	1	2	3	you would need the size of the contain amount of vinegar us the type of sampl . such as earth wood limeston and plastic and how much of each to put in .
108	1	3	3	in addit to the inform given you would also need to know how much vinegar to put into each contain differ amount could chang the result . there should also be a set temperatur to keep the sampl at becaus chang in temperatur can affect the corros process . in the experi it should have told you the sampl should be somewhat even size .
109	1	1	1	addit inform that is need in order to replic the experi is the measur cent of the liquid pour into the cup . also wa size cup ar the liquid pour into . in the procedur it sai pour vinegar in each of four separ but ident contain . that is the addit inform that is need in order to replic the experi .
110	1	0	0	some addit inform thei could have ad wa thei thei should have weigh the sampl befor thei put in the vinegar .
111	1	0	0	for each box thei should have done it time so thei would have an averag .
112	1	1	1	i would need to know what materi i am get to begin thi experi . what should i be look for when experi is go on how do i determin the ma of each segment .
113	1	1	1	some addit inform you would need to replic the experi is in the procedur includ what type of sampl your us also do explain why you ar us vinegar . final to tell the reader what your weigh with and why .
114	1	2	2	if i wa to replic the experi i would need to know the amount of vinegar in each contain the size of the contain and what wa us to weigh the sampl .
115	1	1	1	in order to replic thi experi you should know how much of each sampl you were suppos to start with what you were try to determin from thi experi and you should know how the contain were kept room temperatur outsid etc .
116	1	0	0	in order to replic thi thi experi you would need the start mass end mass and differ in mass .
117	1	2	3	you would need to find out and label the differ size and shape of the sampl you don t pour the vinegar in instead you sai to drop in each contain . you want everyth to be the same and when you pour you don t alwai get the exact amount for each contain . also state the mass of ph label of the vinegar .
118	1	0	0	your go to need how much is there in total .
119	1	0	0	pour vinegar in each of the four separ but ident contain . p place on sampl in a contain and do the same for the rest p after hour remov sampl and rins p sit and dry for min . p determin the mile .
120	1	2	3	to replic thi experi you would need to know the mass amount of vinegar us in each cup . it is also necessari to know the temperatur of the room that the experi wa perform in . a differ temperatur could speed or slow the reaction in each cup . the last piec of inform requir would be he size of the cup us in the experi . the volum of the cup and or the shape of the cup could complet alter the result of the experi .
121	1	1	1	to replic the experi i would give the requir tool in a list so peopl can be more prepar i would also be more specif on the word sampl to describ rock and stone . and most importantli i would make a control i would put marbl limeston wood and plastic in water .
122	1	2	2	in order to replic the experi i would need some addit inform . first of all i would need to know how much vinegar to us in each contain . second of all i would need to know the materi i would be place in the vinegar .
123	1	1	2	what you would need to know to replic the experi is the amount of vinegar to put in each cup . also you would need to list the materi you were us . anoth thing you would need to know is what measur of the mass would you us .
124	1	1	1	you would need what sampl there what you do after number .
125	1	0	0	it would have been better to have had three trial for the data and to have an averag for the data . also a total of the data could have been better too .
126	1	3	3	first you would need to know what the sampl ar that thei ar talk about . next you would need to know how much vinegar you need to put in each contain . you could also need to how long you should rins each sampl .
127	1	0	0	the addit inform i would need to erad the experi i would explain the look of the outcom of the experi . i would put after hour remov the sampl from the contain rins each sampl w distil water . allow the sampl to sit and dry for minut . instead of put determin the mass of each sampl . i would tell you the outcom on what happen and how the experi turn out .
128	1	0	0	i will need to add on them sub ten by how mani number their ar . the sampl ha the amount of four layer it is to divid by eight .
129	1	1	1	in order to replic thi experi a control would need to be establish . also a mass would need to be determin so that everi materi had the same mass at the begin of the experi . in order to accur replic thi experi it would help to know if the contain were cover or uncov for the hour .
130	1	3	3	we would word correct safeti measur to take the control the effect of vinegar what temperatur to store them at what the ident contain ar made of and it size what type of scale to us to mean it the amount of vinegar in each contain i more trial
131	1	3	3	in order to replic thi experi there ar a few more thing i need to know . the problem doe not state what the four differ sampl ar . second i would need to know how much vinegar to pour in each cup . the amount of vinegar could impact the mass . last i would need to where to store the sampl for the hour period . differ temperatur might affect the differ sampl .
132	1	2	2	thi question would need to includ the measur of the contain the amount of vinegar pour in each cup .
133	1	2	2	in order to replic thi experi i would need to know what she contain to us and how to measur the mass of the sampl . i would also need to know how much vinegar to put in each contain .
134	1	0	0	you would need to know the portion of what thei us as not to ruin the experi or not us enough or too much mai not give you the same result .
135	1	3	3	in order to replic the lab the student did you would need to know what materi were need . what kind of area ar you go to do the lab in and how much vinegar you need to pour into the sampl .
136	1	2	3	the addit inform that is need in the procedur is thei should state what sampl ar go to be us . also thei should includ how much vinegar we need to pour into the contain becaus differ amount could have differ result . lastli it should includ the size of the contain becaus it could have a differ result .
137	1	2	1	addit inform to be includ into the procedur to replic it would have to be to clarifi in the first step what the sampl ar go to be . it would also be good if you were to add where you should put your sampl while thei ar sit in the vinegar . it would have clarifi the procedur also if it were ad what we should us to measur the sampl . it would also be help if the procedur includ how much of each sampl to test .
138	1	3	3	after read the group s procedur addit inform that a would need in order to replic the experi ar that a need to know the size of the contain that the sampl ar put in for thei need to be ident . u also need to know that amount of sampl u need to put in each contain in order to obtain the same start mass the group of student receiv from the sampl . anoth factor a should know is the amount no vinegar that u pour into the contain concern the old exampl of the experi . anoth good price of inform would be the locat where the sampl ar dry and amount of sunlight .
139	1	3	3	some addit inform need would be where the contain ar to sit . such as in the sun or in the refriger . how much vinegar ar we put into contain and what kind of contain ar us
140	1	2	2	the student should sai in the experi what sampl ar be us . thei should also sai how much water thei should us when thei ar distil the sampl and thei also need to sai how much vinegar thei ar pour into each label cup .
141	1	2	2	three addit piec of inform that i would need to know to replic thi experi would be what exactli the four sampl ar of how much vinegar to pour into each contain and what exactli the purpos or problem statement for thi experi wa . also how much distil water i would need to us .
142	1	2	2	in the procedur i would also need to know how much vinegar to us which scale of measur thei ar us and how big each contain is .
143	1	3	2	in order to complet thi experi you would need addit inform . you would need to know the list of materi to have everyth to complet your experi . you would also need to know where the experi wa perform to weigh ani outsid factor . you might also need to know to know the constant . what type of vinegar and what time you start .
144	1	3	3	to replic thi experi you would also need to know vinegar thei us the size of the cup and the the size of the sampl .
145	1	2	2	after read the procedur there were a few thing i need to know to replic the experi . on thing is the amount of vinegar us . anoth is how much water to us when rins it . the last thing is how to store the sampl for hour . there were a few problem with thi procedur .
146	1	3	3	i would the amount of vinegar that should be put into each cup also should the contain be cover or not it would be help to know what type of contain should the materi be put into .
147	1	1	1	i need to know how big the contain is how mani of them .
148	1	2	2	what ar the sampl what is the materi us how much vinegar is pour in the contain .
149	1	0	0	the student should have made a hypothesi of what thei thought wa go to happen . also thei should have state what thei were investig . thei should have made a conclus from the result .
150	1	1	1	in order to replic the experi you would need addit inform like how much vinegar wa pour into the separ contain what tool to us such as safeti goggl and have more trial .
151	1	1	1	thei need to add what the sampl were how the mass should be determin thei need to tell you to tabl the contain and you need to record tour data .
152	1	2	1	some addit inform i would need in order to replic the experi would be how much vinegar do i put in each contain . also what am i suppos to label the contain i m not quit sure how to measur the mass by us a scale . if so the same scale for each sampl . also how big ar the sampl suppos to be .
153	1	3	3	to replic thi experi you would need to know the volum of the vinegar in the cup the temperatur of the surround and the exact acid of the vinegar on the ph scale .
154	1	0	0	to replic the group experi you would need to add inform even as if the lab is valid .
155	1	2	3	you would need to add how much vinegar is need to be pour in the contain . i think the student should have start out with the same mass . what type of vinegar and doe temperatur matter .
156	1	0	0	some addit inform would be how much of each sampl would be put into the vinegar . also mayb not have then sit for hour but had then sit less . thei could also have rins them with replica water instead of distil water .
157	1	2	2	the addit inform necessari to replic the experi ar p . the amount of vinegar to pour thi must remain constant in a credibl experi . p . the type of sampl us should be in the procedur . p .
158	1	1	1	to replic the experi you would need to find out how much vinegar to pour into the contain . we know that marbl lost gram limeston lost . gram plastic lost gram and wood stai the same but we need to know how much vinegar wa us for each sampl .
159	1	0	0	we had all the inform we need to do the experi we alreadi know that wood is the on that ha more mass out of all of them and that plastic is the least on but mayb if thei would ve explain it better to be abl to complet the mass becaus it look like thei onli have estim for the mass .
160	1	2	2	the addit inform you would need in order to replic the experi is the differ in mass from the begin of the experi to the end of the experi . you d also need to know what all the sampl were and would need the same amount of vinegar in each contain .
161	1	1	1	to replic the group procedur i would need for them to tell the reader how much vinegar to put in the contain how much of on sampl materi do thei want and how thei want us to determin the mass .
162	1	1	1	there ar a coupl addit that should be made to replic the lab accur . in procedur it doe not sai to measur the mass of the sampl i or without a petra dish . it also should sai that thei should be measur with a particular instrument such as balanc beam . anoth part that wa left out wa that thei forgot to tell how much vinegar the four sampl need becaus if on get more than anoth it might chang the weight and how much water princ the sampl with .
163	1	1	1	you would need to tell what type of sampl thei ar . also what type of utensil to us to measur the mass of the sampl . also would need repeat or replic trial to re test the experi . or you ll also need to tell what to label the contain by in thi experi you ll also need to reach the mass or how each sampl look by us your five sens or whatev or not to make a data same to show your result .
164	1	2	2	in order to replic thi experi i would need to know what kind of sampl i am us . the group state to determin the mass of four sampl but doe not tell me what kind of materi these sampl ar . also it would be help to know how much of each sampl i should measur . again thi group procedur is veri be detail and it would help to make the experi as accur as possibl to know how much of the sampl i should be us . final in order to replic thi experi i would need to know how much vinegar i should add to each sampl . differ amount of vinegar will affect each sampl differ make the experi inaccur .
165	1	2	2	in order to be abl to duplic thi experi you need the follow inform how much vinegar to us . also how big ar the contain i . e what is what is their volum . and lastli how much of each sampl to put into the contain .
166	1	1	1	addit inform i would need is how much vinegar wa put onto each sampl . thi is becaus if more vinegar is put on on sampl than anoth it will most like after the mass in differ wai for exampl if more vinegar is put on wood than plastic then wood will have more mass lost than the plastic would .
167	1	0	0	in order to replic thi experi you would need to state exactli how much of a certain chemic you need to pour . in most case it is imper that you get the right amount of a substanc or your result mai be suffici .
168	1	3	3	to repeat thi experi i would need to know the four differ sampl without know that i don t know what i m test . i also need to know how much vinegar in each of the cup . i would need to know where to put all of the differ contain . i don t know if thei need to stai at room temp cold or not .
169	1	0	0	you should repeat each step in the experi . start with step and go all the wai to step .
170	1	1	1	to replic thi procedur you would need to know how much vinegar to pour into each of the contain . you would also need to know when you start to know when to finish the experi .
171	1	1	0	what materi should we us becaus in order to do thi experi it ha to tell us what substanc ar be us . their procedur also doe not tell us to get a start weight .
172	1	2	2	after read the group s procedur in order to replic the experi i would need to know the size of the contain becaus the smaller the contain the more dens pack the sampl ar . i would also need to know whether or not light and heat or dark and cold will affect the experi .
173	1	1	0	the procedur ha to be more specif . it should includ that the experi need an end mass and the differ of the begin and end . it should have materi list . it should have within the procedur a mini procedur for each materi .
174	1	3	3	in order to replic thi experi i would need to know addit inform such as the four differ sampl that thei us becaus i could have chosen metal cardboard and mani other sampl materi that thei didn t us and would get differ result . also i would also need to know the amount of vinegar to pour becaus thi can caus a major chang . lastli thei might want to tell where to sit the sampl while thei dry for minut becaus if thei ar sit in room temp . or by a light sourc make a differ too .
175	1	1	1	to replic the experi thei would need to tell you how much vinegar to put in the cup have all the rock wai the same and tell us why thei ar do the experi .
176	1	2	2	to replic the procedur i would need to know the amount of vinegar need how much distil water need to rins the sampl and the type of sampl .
177	1	2	2	these student procedur wa not a reliabl on . the materi need to mention what kind of materi thei us . is there onli reduc to ism the sampl . thei also need to know how much vinegar to pour into the cup . the materi also that not includ in control group . which is a center post or ani experi . thei student variabl uncheck . thei also includ onli the trial .
178	1	1	1	i would need to know the amount of vinegar ad to each sampl which have to be the same replic the experi .
179	1	2	3	the addit inform i would need to know in order to replic the experi is what kind of sampl thei ar us . in step it tell me to determin the mass of four differ sampl but doesn t tell me which kind . in step it tell me to pour vinegar into each contain but doesn t tell me what size or type of contain . after sampl ar remov from the contain after hour i need to find the mass of each sampl . step but thei don t tell me to subtract the end mass from the slur hf .
180	1	1	1	the group need to add what to label becaus
181	1	0	1	first i would sai you need to get all materi befor you do ani of that . what would we us to get the mass of the differ materi and where would we place the contain while we ar wait for the result .
